Date,High,Low,Open,Close,Volume,Adj Close,Returns
1,1993-02-09,44.8125,44.5625,44.8125,44.65625,122100.0,25.96590232849121,-0.0069492198376278624
2,1993-02-10,44.75,44.53125,44.65625,44.71875,379600.0,26.00225067138672,0.0013998490187503432
3,1993-02-11,45.125,44.78125,44.78125,44.9375,19500.0,26.129440307617188,0.004891485657833039
4,1993-02-12,44.875,44.59375,44.875,44.59375,42500.0,25.929563522338867,-0.007649485902690878
5,1993-02-16,44.46875,43.40625,44.46875,43.46875,374800.0,25.275409698486328,-0.025228107804011857
6,1993-02-17,43.53125,43.28125,43.46875,43.4375,210900.0,25.25725555419922,-0.0007182532154245136
7,1993-02-18,43.9375,42.8125,43.9375,43.40625,378100.0,25.23906707763672,-0.000720128777391138
8,1993-02-19,43.5625,43.34375,43.40625,43.5625,34900.0,25.329931259155273,0.0036001402602976462
9,1993-02-22,43.78125,43.5625,43.6875,43.71875,513600.0,25.420778274536133,0.003586548042763482
10,1993-02-23,43.875,43.46875,43.84375,43.6875,373700.0,25.40261459350586,-0.0007145210439315486
11,1993-02-24,44.25,43.71875,43.71875,44.25,26300.0,25.729692459106445,0.012875755934359745
12,1993-02-25,44.375,44.125,44.21875,44.34375,44500.0,25.784202575683594,0.0021185685240421304
13,1993-02-26,44.4375,44.1875,44.4375,44.40625,66200.0,25.82054901123047,0.0014096396985785464
14,1993-03-01,44.5625,44.21875,44.5625,44.28125,66500.0,25.747854232788086,-0.002815384692663403
15,1993-03-02,44.9375,44.25,44.3125,44.9375,182400.0,26.129440307617188,0.014820111663642166
16,1993-03-03,45.15625,44.9375,45.0,45.125,280100.0,26.238445281982422,0.0041717301665071815
17,1993-03-04,45.1875,44.875,45.1875,44.875,89500.0,26.093107223510742,-0.005539126152854901
18,1993-03-05,45.125,44.71875,44.9375,44.75,40000.0,26.02042007446289,-0.002785683913580028
19,1993-03-08,45.75,44.84375,44.84375,45.75,50800.0,26.601865768432617,0.022345745852903054
20,1993-03-09,45.6875,45.5,45.65625,45.59375,169300.0,26.51103401184082,-0.0034144881935155302
21,1993-03-10,45.6875,45.40625,45.59375,45.6875,194400.0,26.56553840637207,0.002055913568173473
22,1993-03-11,45.84375,45.5,45.71875,45.5625,70900.0,26.492855072021484,-0.0027360008006896974
23,1993-03-12,45.21875,44.8125,45.1875,45.09375,643600.0,26.220294952392578,-0.010288061399496007
24,1993-03-15,45.3125,45.0625,45.0625,45.3125,310800.0,26.347490310668945,0.0048510269814778795
25,1993-03-16,45.4375,45.3125,45.3125,45.3125,30800.0,26.347490310668945,0.0
26,1993-03-17,45.25,44.96875,45.25,45.03125,21800.0,26.183961868286133,-0.006206604137798832
27,1993-03-18,45.5,45.21875,45.21875,45.3125,59300.0,26.347490310668945,0.00624536665633002
28,1993-03-19,45.28125,45.03125,45.28125,45.03125,66900.0,26.3076229095459,-0.0015131384679513138
29,1993-03-22,44.875,44.5625,44.59375,44.78125,183400.0,26.16156005859375,-0.005552111319763076
30,1993-03-23,44.9375,44.8125,44.90625,44.875,55200.0,26.21632194519043,0.0020932194591618547
31,1993-03-24,45.0625,44.59375,44.8125,44.875,37200.0,26.21632194519043,0.0
32,1993-03-25,45.25,44.84375,44.90625,45.15625,110100.0,26.380645751953125,0.006267996216488436
33,1993-03-26,45.15625,44.875,45.125,44.90625,101500.0,26.234588623046875,-0.005536525916748469
34,1993-03-29,45.3125,44.9375,44.9375,45.09375,87100.0,26.344120025634766,0.004175076047949533
35,1993-03-30,45.21875,45.09375,45.15625,45.21875,56000.0,26.417156219482422,0.002772390718558393
36,1993-03-31,45.46875,45.1875,45.34375,45.1875,111600.0,26.398897171020508,-0.0006911814545900175
37,1993-04-01,45.25,44.9375,45.25,45.03125,129500.0,26.3076229095459,-0.003457502822307501
38,1993-04-02,44.65625,44.09375,44.65625,44.09375,59400.0,25.75992774963379,-0.020818876786977802
39,1993-04-05,44.4375,44.1875,44.4375,44.3125,172200.0,25.887723922729492,0.004961045478767634
40,1993-04-06,44.40625,44.0625,44.40625,44.1875,129700.0,25.814697265625,-0.0028208990996065886
41,1993-04-07,44.34375,44.15625,44.25,44.34375,28000.0,25.905967712402344,0.003535600121055138
42,1993-04-08,44.53125,44.09375,44.53125,44.28125,180800.0,25.86945915222168,-0.0014092722026819438
43,1993-04-12,44.9375,44.65625,44.71875,44.90625,348500.0,26.234588623046875,0.014114306320696324
44,1993-04-13,45.15625,44.84375,44.875,45.0,146100.0,26.289371490478516,0.0020881923562359184
45,1993-04-14,45.0625,44.90625,45.03125,44.9375,119600.0,26.252857208251953,-0.0013889370554098779
46,1993-04-15,45.03125,44.75,44.90625,44.9375,148600.0,26.252857208251953,0.0
47,1993-04-16,45.03125,44.875,44.96875,44.9375,47900.0,26.252857208251953,0.0
48,1993-04-19,45.0625,44.71875,44.9375,44.75,157000.0,26.1433048248291,-0.0041729699191910274
49,1993-04-20,44.75,44.25,44.6875,44.53125,279500.0,26.015512466430664,-0.004888148581623453
50,1993-04-21,44.625,44.375,44.625,44.5,67900.0,25.99725341796875,-0.000701852346190579
51,1993-04-22,44.6875,43.9375,44.3125,43.9375,97700.0,25.66864013671875,-0.012640307649686933
52,1993-04-23,43.96875,43.6875,43.84375,43.75,106000.0,25.559099197387695,-0.004267500683620473
53,1993-04-26,43.9375,43.28125,43.78125,43.40625,62600.0,25.358272552490234,-0.007857344398036759
